,Fish Type,Size,Shape,Colour,Weight,Height,Lifespan,Production,Live Stock,Purchases,Seasonal Data
39,Red Mullet,Small,Round,Red,3.00 kg,10.83 cm,9 years,820 tons,32K,336 units,Summer
40,Horse Mackerel,Small,Oval,Red,4.44 kg,40.43 cm,1 years,156 tons,33K,281 units,Spring
41,Black Sea Sprat,Small,Elongated,Red,3.69 kg,54.83 cm,5 years,453 tons,67K,408 units,Winter
42,Striped Red Mullet,Medium,Round,Green,1.17 kg,98.36 cm,7 years,107 tons,19K,183 units,Spring
43,Trout,Small,Elongated,Red,1.84 kg,46.10 cm,2 years,632 tons,46K,325 units,Spring
44,Shrimp,Small,Oval,Red,4.58 kg,79.66 cm,5 years,554 tons,19K,445 units,Winter
45,Gilt Head Bream,Small,Oval,Red,0.56 kg,58.01 cm,4 years,328 tons,68K,386 units,Summer
46,Red Sea Bream,Small,Elongated,Blue,2.44 kg,77.69 cm,4 years,326 tons,50K,445 units,Summer
47,Sea Bass,Small,Elongated,Blue,0.75 kg,37.14 cm,6 years,297 tons,43K,136 units,Summer
48,Red Mullet,Large,Elongated,Blue,2.45 kg,84.42 cm,4 years,202 tons,94K,328 units,Winter
49,Horse Mackerel,Small,Round,Green,1.67 kg,43.64 cm,8 years,249 tons,18K,172 units,Autumn
50,Black Sea Sprat,Small,Elongated,Green,0.70 kg,81.98 cm,3 years,735 tons,97K,97 units,Winter
51,Striped Red Mullet,Large,Oval,Silver,4.82 kg,68.10 cm,3 years,273 tons,14K,442 units,Summer
52,Trout,Medium,Oval,Silver,1.97 kg,23.23 cm,5 years,973 tons,72K,5 units,Summer
53,Shrimp,Large,Round,Blue,4.60 kg,17.47 cm,8 years,638 tons,32K,461 units,Winter
54,Gilt Head Bream,Large,Oval,Green,1.97 kg,78.11 cm,9 years,740 tons,20K,460 units,Summer
55,Red Sea Bream,Large,Oval,Red,3.16 kg,87.20 cm,7 years,409 tons,53K,83 units,Winter
56,Sea Bass,Small,Round,Red,4.59 kg,83.40 cm,6 years,319 tons,41K,222 units,Autumn
57,Red Mullet,Small,Oval,Red,1.66 kg,86.41 cm,1 years,166 tons,82K,126 units,Autumn
58,Horse Mackerel,Small,Oval,Green,1.33 kg,46.11 cm,6 years,956 tons,44K,464 units,Winter
59,Black Sea Sprat,Small,Oval,Red,2.54 kg,39.40 cm,5 years,896 tons,16K,323 units,Spring
