State,Fish Type,Average Consumption (tons),Preferred Size (cm),Price Range (INR per kg),Seasonal Availability
Bihar,Red Sea Bream,14.3,26.0,468.17 - 597.03,Seasonal
Bihar,Red Sea Bream,16.29,31.21,433.57 - 497.88,Seasonal
Bihar,Red Sea Bream,13.55,32.87,463.03 - 547.24,Seasonal
Bihar,Red Sea Bream,13.05,21.36,337.1 - 447.5,Year-round
Bihar,Red Sea Bream,16.96,14.5,268.78 - 391.0,Seasonal
Bihar,Red Sea Bream,5.18,27.95,369.65 - 491.27,Year-round
Bihar,Sea Bass,10.19,15.45,472.54 - 580.87,Seasonal
Bihar,Sea Bass,11.35,18.64,384.49 - 525.67,Seasonal
Bihar,Sea Bass,12.59,28.34,205.43 - 342.65,Seasonal
Bihar,Sea Bass,6.53,37.56,437.03 - 489.33,Year-round
Bihar,Sea Bass,7.29,27.29,382.01 - 474.43,Year-round
Bihar,Sea Bass,6.56,35.21,473.21 - 535.49,Year-round
Bihar,Red Mullet,19.77,35.17,237.4 - 379.48,Year-round
Bihar,Red Mullet,9.67,16.82,382.37 - 470.3,Year-round
Bihar,Red Mullet,10.03,34.09,201.39 - 284.74,Year-round
Bihar,Red Mullet,11.22,35.91,476.89 - 573.46,Year-round
Bihar,Red Mullet,16.06,23.57,267.38 - 362.63,Year-round
Bihar,Red Mullet,8.72,27.33,249.65 - 303.04,Year-round
Bihar,Horse Mackerel,10.44,27.42,389.68 - 440.99,Year-round
Bihar,Horse Mackerel,12.73,39.27,337.7 - 443.43,Seasonal
Bihar,Horse Mackerel,6.28,39.91,350.66 - 460.2,Year-round
Bihar,Horse Mackerel,10.96,22.8,439.93 - 524.87,Seasonal
Bihar,Horse Mackerel,7.86,11.1,341.62 - 448.1,Seasonal
Bihar,Horse Mackerel,9.41,31.42,358.29 - 461.74,Year-round
Bihar,Black Sea Sprat,11.01,26.79,246.57 - 314.76,Year-round
Bihar,Black Sea Sprat,6.13,32.6,281.69 - 421.43,Seasonal
Bihar,Black Sea Sprat,11.13,10.76,246.85 - 368.44,Year-round
Bihar,Black Sea Sprat,11.12,26.55,276.17 - 345.78,Year-round
Bihar,Black Sea Sprat,5.3,13.12,439.97 - 507.83,Year-round
Bihar,Black Sea Sprat,13.35,31.62,441.59 - 590.47,Seasonal
Bihar,Striped Red Mullet,17.84,34.91,319.16 - 435.96,Year-round
Bihar,Striped Red Mullet,11.1,19.72,226.08 - 339.4,Year-round
Bihar,Striped Red Mullet,8.12,10.8,254.43 - 362.73,Seasonal
Bihar,Striped Red Mullet,15.56,37.32,387.43 - 471.01,Year-round
Bihar,Striped Red Mullet,10.7,27.71,280.42 - 392.83,Seasonal
Bihar,Striped Red Mullet,16.61,20.88,458.32 - 530.27,Seasonal
Bihar,Trout,16.45,14.2,460.54 - 559.28,Seasonal
Bihar,Trout,12.07,15.46,345.43 - 446.68,Year-round
Bihar,Trout,13.12,29.0,277.37 - 341.3,Year-round
Bihar,Trout,11.33,13.97,470.17 - 589.29,Year-round
Bihar,Trout,5.28,37.43,235.33 - 342.98,Seasonal
Bihar,Trout,6.01,22.16,349.24 - 471.26,Year-round
Bihar,Shrimp,5.16,14.11,470.01 - 607.39,Seasonal
Bihar,Shrimp,8.76,28.99,348.28 - 455.61,Year-round
Bihar,Shrimp,11.28,21.49,355.68 - 410.37,Seasonal
Bihar,Shrimp,19.38,15.53,227.1 - 354.2,Year-round
Bihar,Shrimp,10.84,18.66,306.7 - 428.61,Year-round
Bihar,Shrimp,14.16,38.48,318.99 - 464.4,Seasonal
Chhattisgarh,Gilt Head Bream,15.99,16.45,209.35 - 285.58,Year-round
Chhattisgarh,Gilt Head Bream,17.62,35.39,486.57 - 552.04,Year-round
Chhattisgarh,Gilt Head Bream,16.56,13.2,222.54 - 345.36,Year-round
Chhattisgarh,Gilt Head Bream,15.57,27.95,337.9 - 395.5,Seasonal
Chhattisgarh,Gilt Head Bream,16.99,30.84,281.64 - 390.67,Year-round
Chhattisgarh,Gilt Head Bream,9.72,34.22,488.63 - 617.63,Year-round
Chhattisgarh,Red Sea Bream,11.69,15.55,362.57 - 499.86,Seasonal
Chhattisgarh,Red Sea Bream,14.58,32.77,417.23 - 530.95,Seasonal
Chhattisgarh,Red Sea Bream,8.75,24.68,266.36 - 415.13,Year-round
Chhattisgarh,Red Sea Bream,15.05,11.32,376.48 - 526.41,Seasonal
Chhattisgarh,Red Sea Bream,13.52,37.46,210.18 - 329.93,Year-round
Chhattisgarh,Red Sea Bream,7.89,13.46,326.53 - 456.06,Year-round
Chhattisgarh,Sea Bass,17.93,35.34,295.73 - 428.62,Year-round
Chhattisgarh,Sea Bass,14.75,20.94,368.2 - 466.31,Year-round
Chhattisgarh,Sea Bass,15.44,20.2,417.43 - 473.97,Year-round
Chhattisgarh,Sea Bass,17.06,26.15,398.5 - 522.28,Year-round
Chhattisgarh,Sea Bass,18.29,28.48,269.89 - 322.33,Seasonal
Chhattisgarh,Sea Bass,19.86,10.01,255.64 - 344.04,Seasonal
Chhattisgarh,Red Mullet,16.98,39.94,305.21 - 431.93,Year-round
Chhattisgarh,Red Mullet,5.56,24.39,374.23 - 451.4,Year-round
Chhattisgarh,Red Mullet,16.52,22.53,326.41 - 450.17,Seasonal
Chhattisgarh,Red Mullet,5.05,24.02,289.1 - 424.38,Seasonal
Chhattisgarh,Red Mullet,8.5,11.26,205.36 - 354.13,Year-round
Chhattisgarh,Red Mullet,6.64,21.75,237.33 - 382.97,Year-round
Chhattisgarh,Horse Mackerel,16.8,12.68,325.27 - 463.19,Seasonal
Chhattisgarh,Horse Mackerel,14.01,37.11,496.76 - 621.09,Seasonal
Chhattisgarh,Horse Mackerel,8.48,38.28,394.89 - 505.67,Year-round
Chhattisgarh,Horse Mackerel,6.81,11.41,315.23 - 368.9,Seasonal
Chhattisgarh,Horse Mackerel,16.69,20.5,217.35 - 364.26,Year-round
Chhattisgarh,Horse Mackerel,12.77,27.92,357.51 - 433.53,Year-round
Chhattisgarh,Black Sea Sprat,16.37,30.88,246.17 - 377.75,Seasonal
Chhattisgarh,Black Sea Sprat,14.34,32.44,210.46 - 349.95,Year-round
Chhattisgarh,Black Sea Sprat,6.37,36.32,279.68 - 342.63,Year-round
Chhattisgarh,Black Sea Sprat,5.67,35.57,210.63 - 293.53,Year-round
Chhattisgarh,Black Sea Sprat,13.26,12.61,322.54 - 409.8,Seasonal
Chhattisgarh,Black Sea Sprat,15.44,11.46,359.78 - 505.99,Seasonal
Chhattisgarh,Striped Red Mullet,15.25,12.28,455.36 - 554.88,Seasonal
Chhattisgarh,Striped Red Mullet,12.74,37.2,371.4 - 487.61,Seasonal
Chhattisgarh,Striped Red Mullet,13.49,18.01,463.59 - 593.33,Seasonal
Chhattisgarh,Striped Red Mullet,8.68,14.72,248.12 - 331.52,Year-round
Chhattisgarh,Striped Red Mullet,15.46,30.4,385.58 - 510.86,Year-round
Chhattisgarh,Striped Red Mullet,18.22,38.84,339.64 - 477.55,Seasonal
Chhattisgarh,Trout,6.93,20.05,423.05 - 489.13,Seasonal
Chhattisgarh,Trout,13.34,32.7,277.61 - 346.92,Year-round
Chhattisgarh,Trout,14.25,39.44,389.54 - 465.52,Seasonal
Chhattisgarh,Trout,5.14,34.56,238.53 - 316.87,Year-round
Chhattisgarh,Trout,13.12,38.89,302.56 - 415.82,Seasonal
Chhattisgarh,Trout,16.31,33.66,252.13 - 379.21,Seasonal
Chhattisgarh,Shrimp,9.51,31.25,220.21 - 328.42,Year-round
Chhattisgarh,Shrimp,5.87,12.24,455.72 - 604.74,Year-round
Chhattisgarh,Shrimp,19.53,32.49,239.03 - 364.85,Year-round
Chhattisgarh,Shrimp,5.98,34.65,311.55 - 443.43,Year-round
Chhattisgarh,Shrimp,15.25,23.38,282.09 - 431.8,Year-round
Chhattisgarh,Shrimp,6.53,35.63,358.11 - 490.7,Year-round
Goa,Gilt Head Bream,8.31,12.47,404.15 - 519.6,Year-round
Goa,Gilt Head Bream,18.02,38.9,209.39 - 332.52,Year-round
Goa,Gilt Head Bream,11.3,29.16,319.28 - 396.7,Year-round
Goa,Gilt Head Bream,9.68,19.62,417.33 - 541.91,Year-round
Goa,Gilt Head Bream,5.47,29.55,310.56 - 446.99,Seasonal
Goa,Gilt Head Bream,13.15,14.78,261.11 - 320.23,Seasonal
Goa,Red Sea Bream,16.56,35.34,428.31 - 540.93,Seasonal
Goa,Red Sea Bream,9.41,37.36,490.25 - 558.8,Year-round
Goa,Red Sea Bream,12.22,13.52,237.56 - 356.11,Seasonal
Goa,Red Sea Bream,13.38,16.77,248.25 - 363.4,Year-round
Goa,Red Sea Bream,9.03,33.93,293.11 - 388.63,Seasonal
Goa,Red Sea Bream,11.97,30.41,318.66 - 466.13,Seasonal
Goa,Sea Bass,9.37,30.85,458.04 - 586.02,Seasonal
Goa,Sea Bass,15.86,32.47,243.78 - 304.06,Seasonal
Goa,Sea Bass,7.14,24.97,385.45 - 505.69,Seasonal
Goa,Sea Bass,16.64,38.24,221.72 - 325.15,Year-round
Goa,Sea Bass,10.26,11.0,223.57 - 313.27,Seasonal
Goa,Sea Bass,19.66,16.03,407.96 - 540.1,Seasonal
Goa,Red Mullet,7.51,13.14,390.93 - 511.58,Seasonal
Goa,Red Mullet,13.92,28.5,383.88 - 463.77,Seasonal
Goa,Red Mullet,18.06,31.42,440.52 - 524.46,Year-round
Goa,Red Mullet,12.27,29.82,365.9 - 475.65,Seasonal
Goa,Red Mullet,11.78,29.31,357.92 - 481.08,Year-round
Goa,Red Mullet,15.87,27.8,395.09 - 493.02,Year-round
Goa,Horse Mackerel,8.29,39.28,301.07 - 369.28,Year-round
Goa,Horse Mackerel,11.5,11.31,248.5 - 300.59,Year-round
Goa,Horse Mackerel,8.43,39.89,492.44 - 607.47,Seasonal
Goa,Horse Mackerel,11.05,16.62,325.52 - 395.88,Year-round
Goa,Horse Mackerel,11.94,36.05,418.15 - 542.42,Seasonal
Goa,Horse Mackerel,14.43,32.06,430.32 - 530.8,Seasonal
Goa,Black Sea Sprat,18.01,27.36,331.58 - 454.11,Seasonal
Goa,Black Sea Sprat,14.09,27.93,437.89 - 553.39,Year-round
Goa,Black Sea Sprat,13.89,37.37,263.2 - 375.5,Seasonal
Goa,Black Sea Sprat,17.54,17.07,432.8 - 523.33,Seasonal
Goa,Black Sea Sprat,7.7,17.13,491.42 - 559.52,Year-round
Goa,Black Sea Sprat,6.04,23.11,229.22 - 319.72,Seasonal
Goa,Striped Red Mullet,12.72,20.78,377.89 - 444.24,Year-round
Goa,Striped Red Mullet,9.68,21.97,457.4 - 508.3,Year-round
Goa,Striped Red Mullet,16.6,13.93,490.95 - 586.33,Year-round
Goa,Striped Red Mullet,18.26,23.26,299.27 - 394.14,Seasonal
Goa,Striped Red Mullet,17.43,22.93,274.61 - 386.33,Year-round
Goa,Striped Red Mullet,8.79,20.78,313.81 - 424.36,Year-round
Goa,Trout,14.96,24.24,453.25 - 583.82,Seasonal
Goa,Trout,17.96,26.74,361.97 - 415.39,Seasonal
Goa,Trout,5.86,25.94,480.98 - 534.92,Year-round
Goa,Trout,8.37,15.4,226.57 - 286.9,Year-round
Goa,Trout,5.62,14.45,495.99 - 642.5,Year-round
Goa,Trout,5.26,19.69,491.93 - 599.94,Seasonal
Goa,Shrimp,12.73,24.67,400.06 - 464.02,Seasonal
Goa,Shrimp,6.99,14.31,481.95 - 605.24,Seasonal
Goa,Shrimp,19.55,12.82,401.78 - 496.16,Year-round
Goa,Shrimp,19.45,17.66,398.49 - 546.35,Year-round
Goa,Shrimp,15.25,24.92,385.35 - 522.24,Seasonal
Goa,Shrimp,16.53,13.39,438.65 - 580.52,Year-round
Gujarat,Gilt Head Bream,8.24,29.77,318.16 - 433.28,Seasonal
Gujarat,Gilt Head Bream,10.23,14.78,381.49 - 463.3,Year-round
Gujarat,Gilt Head Bream,11.1,36.12,434.72 - 541.42,Year-round
Gujarat,Gilt Head Bream,6.64,29.52,429.56 - 572.12,Year-round
Gujarat,Gilt Head Bream,17.12,32.87,439.34 - 532.9,Year-round
Gujarat,Gilt Head Bream,10.64,18.91,394.72 - 477.56,Year-round
Gujarat,Red Sea Bream,10.5,21.89,408.64 - 497.5,Year-round
Gujarat,Red Sea Bream,13.95,26.37,333.33 - 384.79,Year-round
Gujarat,Red Sea Bream,14.05,30.05,385.85 - 482.2,Year-round
Gujarat,Red Sea Bream,13.14,38.54,454.15 - 595.57,Year-round
Gujarat,Red Sea Bream,10.12,21.41,319.65 - 427.66,Seasonal
Gujarat,Red Sea Bream,12.15,21.83,364.82 - 489.51,Seasonal
Gujarat,Sea Bass,19.33,10.55,258.73 - 309.49,Year-round
Gujarat,Sea Bass,6.07,38.64,396.41 - 484.42,Seasonal
Gujarat,Sea Bass,19.02,20.55,230.43 - 329.01,Seasonal
Gujarat,Sea Bass,12.85,30.1,478.88 - 582.11,Seasonal
Gujarat,Sea Bass,9.67,28.31,414.85 - 492.11,Seasonal
Gujarat,Sea Bass,17.35,25.67,236.97 - 372.91,Year-round
Gujarat,Red Mullet,12.88,31.27,232.06 - 338.79,Seasonal
Gujarat,Red Mullet,18.77,22.74,226.11 - 357.69,Seasonal
Gujarat,Red Mullet,5.65,28.99,485.42 - 595.58,Seasonal
Gujarat,Red Mullet,12.73,27.81,438.12 - 552.78,Seasonal
Gujarat,Red Mullet,11.17,35.2,470.01 - 555.35,Seasonal
Gujarat,Red Mullet,8.83,19.06,419.59 - 554.7,Year-round
Gujarat,Horse Mackerel,15.01,12.87,387.16 - 482.33,Seasonal
Gujarat,Horse Mackerel,7.29,17.06,460.78 - 558.07,Year-round
Gujarat,Horse Mackerel,6.44,10.71,392.59 - 503.3,Seasonal
Gujarat,Horse Mackerel,14.57,17.71,389.6 - 445.45,Year-round
Gujarat,Horse Mackerel,19.82,14.09,408.54 - 498.98,Seasonal
Gujarat,Horse Mackerel,11.69,31.74,204.75 - 288.86,Seasonal
Gujarat,Black Sea Sprat,6.56,31.73,373.52 - 450.93,Seasonal
Gujarat,Black Sea Sprat,8.97,29.36,378.73 - 468.84,Year-round
Gujarat,Black Sea Sprat,8.4,20.65,220.83 - 322.73,Seasonal
Gujarat,Black Sea Sprat,15.04,12.1,392.05 - 469.17,Seasonal
Gujarat,Black Sea Sprat,14.76,25.99,297.3 - 380.6,Seasonal
Gujarat,Black Sea Sprat,5.79,21.35,308.88 - 458.43,Year-round
